AD_C1	AD_C2	AD_C3	ATG7_T1	ATG7_T2	ATG7_T3
Gm12227	6	9	5	2	2	2
Gm12229	1	0	0	0	1	0
Lyrm7os	0	0	0	0	0	0
Lyrm7	0	0	0	0	0	0
Gm25426	2	2	3	1	1	1
Hint1	6	5	1	3	0	1
Gpx3	9	12	16	5	4	4
Tnip1	10	8	9	2	2	2
Gm12230	188	148	159	152	123	76
Anxa6	0	0	0	0	0	0
Ccdc69	7	2	5	12	10	19
Gm2a	0	0	0	0	0	0
Gm12231	0	0	0	0	1	0
Mup-ps22	0	0	0	0	0	0
Slc36a3	7	14	6	3	1	2
Slc36a3os	1	0	0	1	0	0
Slc36a2	7	13	7	2	5	3
Slc36a1os	4	3	4	1	1	1
Slc36a1	5	6	1	1	1	0
Fat2	5	7	10	3	2	3
Sparc	7	8	4	1	5	0
Atox1	2	2	3	0	2	0
Gm12235	0	0	0	0	0	0
G3bp1	2	0	1	0	0	4
Gm22884	0	0	0	0	0	0
Gm12238	2	8	2	8	5	13
Mir7652	6	0	2	3	0	1
Glra1	0	0	0	0	0	0
Gm12236	0	0	1	0	0	0
Gm12237	0	0	0	0	0	0
Gm12239	0	1	0	2	1	0
Nmur2	2	3	3	2	0	0
Gm12240	41	31	26	4	12	4
Gm24253	1	3	2	1	4	2
Gm12241	0	0	0	0	0	0
Gm22603	4	1	5	0	3	3
Gria1	118	99	100	121	108	85
Gm12242	0	0	0	0	0	0
Fam114a2	23	14	26	7	25	17
Mfap3	12	19	13	8	3	6
Gm12243	5	6	6	1	0	0
4933424L21Rik	3	4	1	2	1	1
Galnt10	2	1	1	0	1	0
4933426K07Rik	0	0	0	0	0	0
Gm24582	0	0	0	0	0	0
n-R5s69	3	4	2	1	3	13
2010001A14Rik	0	0	0	1	0	0
Sap30l	10	7	3	1	4	0
Hand1	107	120	109	115	139	150
Gm12244	1	1	0	1	0	5
Gm12245	0	0	0	0	0	4
Gm26025	0	0	0	0	0	0
Gm12249	4	1	2	2	0	1
Larp1	0	0	0	0	0	0
Gm12248	0	0	0	0	0	0
Gm12247	2	0	1	0	2	2
Cnot8	0	0	0	0	1	4
Gemin5	0	0	0	0	0	0
Gm12246	6	4	11	3	6	3
Mrpl22	12	7	9	2	0	3
Gm12250	0	0	0	0	0	0
Igtp	5	5	1	1	0	1
Irgm2	4	9	7	3	2	0
4930438A08Rik	1	1	1	4	1	0
Zfp692	24	12	2	110	119	66
Zfp672	5	4	1	2	2	2
1700047K16Rik	0	0	0	0	0	0
Sh3bp5l	7	6	3	3	0	3
Lypd8	0	0	0	0	0	0
Gm12251	0	0	0	0	0	0
Gm12252	17	8	16	16	11	19
1810065E05Rik	0	0	1	0	0	0
Gm12253	260	281	237	290	313	218
4930504O13Rik	8	4	14	11	9	3
Olfr30	1	5	5	2	0	3
Olfr333-ps1	1	6	2	3	1	2
Olfr332	0	0	0	0	0	0
Olfr331	2	0	1	0	1	0
Gm12254	0	0	0	0	0	0
Olfr330	0	0	0	0	0	0
Gm12255	10	5	3	26	25	19
Olfr329-ps	6	6	13	5	7	1
Olfr328	1	0	1	0	0	0
Olfr224	0	4	0	0	0	7
Olfr326-ps1	2	6	7	6	1	0
Olfr325	3	1	0	3	3	1
Olfr324	2	9	11	5	9	5
2210407C18Rik	3	10	19	9	2	4
Olfr323	7	3	5	0	3	0
Trim58	1	0	0	0	0	0
Olfr322	0	0	0	0	0	0
Gm22599	0	0	0	0	0	0
Olfr320	7	2	6	2	3	0
Gm12570	9	12	9	5	2	0
Olfr319	0	0	0	71	63	71
Olfr318	10	15	16	2	3	1
Olfr317	0	0	0	0	0	0
Olfr316	0	0	0	0	0	0
Olfr315	4	2	6	4	2	0
Olfr314	0	0	0	0	0	0
Fam183b	1	4	4	2	3	0
Olfr313	7	10	11	13	17	15
Olfr312	7	5	8	24	4	14
Olfr311	2	0	1	0	0	0
Gm12258	8	2	8	2	2	1
Gm12259	0	0	0	0	0	0
2810021J22Rik	1	0	0	1	0	0
Zfp39	0	0	2	1	0	0
Gm12256	0	0	0	0	0	0
Gm12257	0	0	0	0	0	0
Btnl10	0	0	0	0	0	0
Rnf187	0	0	1	1	1	0
Hist3h2ba	0	0	0	0	0	0
Hist3h2bb-ps	0	0	0	0	0	0
Trim17	31	27	24	22	29	20
Hist3h2a	3	1	3	1	1	0
Gm44313	2	7	6	3	2	4
Gm12260	0	3	0	1	0	0
2310058D17Rik	9	7	12	2	5	4
Trim11	0	0	0	0	0	0
Obscn	121	92	104	156	146	80
Gm10435	4	6	12	5	3	0
Iba57	13	13	14	9	7	4
Gjc2	1	0	3	1	1	0
Guk1	0	0	0	0	0	0
2610507I01Rik	0	0	0	0	0	0
Mrpl55	3	4	6	21	12	8
Gm10434	1	0	0	0	0	0
2310033P09Rik	2	6	9	1	1	2
Arf1	0	0	0	0	0	0
Wnt3a	0	0	0	0	0	0
Wnt9a	0	0	0	0	0	0
Gm24756	0	0	0	0	0	0
Prss38	14	21	9	2	7	2
Gm15755	0	0	0	12	1	7
Snap47	0	0	1	0	0	0
Jmjd4	2	6	0	1	0	1
Zfp867	3	8	3	0	8	2
Gm12263	0	3	0	0	1	0
Gm12262	0	0	0	0	0	0
Zkscan17	0	0	0	0	0	0
4933439C10Rik	2	2	3	1	1	0
Nlrp3	0	0	0	0	0	0
Olfr222	1	2	0	0	0	0
Gm12261	1	1	2	1	1	2
Olfr223	5	4	2	5	3	13
Gm5027	0	2	2	1	2	0
Olfr225	0	1	0	0	0	0
Mprip	0	0	0	0	0	0
1700007J10Rik	4	1	6	2	2	1
Gm12264	0	0	0	0	0	0
Pld6	0	0	0	6	0	0
Flcn	1	1	0	0	0	0
Gm16062	5	6	4	2	1	1
Gm24939	1	3	0	6	11	4
Cops3	3	5	8	3	1	1
Nt5m	31133	45750	30764	25001	27938	1595879
Gm12714	4	5	1	1	0	0
1810063I02Rik	6	10	8	4	3	3
Med9os	3	3	6	3	1	3
Med9	3	7	14	21	24	9
Rasd1	1	7	7	0	0	1
Pemt	0	0	0	0	0	0
Gm27511	6	14	12	1	1	2
Rai1	4	4	5	3	0	0
4930412M03Rik	568	649	608	493	560	439
Srebf1	5	2	2	0	1	1
Mir6921	4	5	5	0	3	0
Mir6922	0	0	4	0	0	0
Tom1l2	12	8	9	9	3	2
Gm12265	0	1	0	0	0	0
Gm27711	3	1	5	1	1	0
Gm12266	1	3	0	0	1	0
Lrrc48	62	72	49	98	81	50
Atpaf2	0	0	3	0	3	3
Gid4	1	11	1	1	0	2
Gm12268	4	6	4	4	0	0
Gm12267	3	1	1	0	1	0
Drg2	0	0	0	0	0	0
Myo15	0	0	0	0	0	5
Alkbh5	17	9	17	5	6	7
Gm12622	0	0	0	0	0	0
Gm12628	0	0	0	0	0	0
Gm26837	0	0	0	3	0	5
Gm12623	2530	2512	2472	2402	2370	1759
Gm12621	8	8	9	2	9	1
Gm12627	0	1	8	3	2	1
Gm12613	0	0	1	0	0	1
Gm12614	0	0	0	1	0	0
Gm12615	0	0	0	0	0	0
Gm12626	0	0	0	0	0	0
Gm12625	0	0	0	0	0	0
Gm12619	9	7	4	2	3	0
Gm12624	1	1	2	0	0	0
Gm12612	0	0	0	0	0	0
Gm12616	4	2	4	1	2	1
Gm12620	6	11	12	3	8	4
Gm12617	0	0	0	1	0	1
Llgl1	11	6	12	5	4	6
Flii	2	1	3	0	0	0
Mief2	5	0	3	2	2	1
Mir5100	0	0	0	0	0	0
Gm23341	4	3	3	1	0	0
Top3a	1	0	1	1	0	0
Smcr8	1	0	2	2	0	0
Shmt1	4	1	3	0	2	1
Gm24945	0	0	0	0	0	0
Gm12611	2	1	3	0	3	0
Gm12618	8	15	12	4	5	2
Dhrs7b	0	0	0	0	0	0
Tmem11	456	510	497	344	403	273
Gm26534	12	11	8	3	3	1
Natd1	4	3	4	2	1	0
Map2k3os	0	3	0	0	0	0
Map2k3	58	74	55	27	26	15
Kcnj12	6	5	4	2	2	2
Tnfrsf13b	0	0	0	0	0	0
Gm12269	3	0	0	1	1	0
Usp22	0	0	0	0	0	0
Rps13-ps5	0	0	0	0	0	0
Aldh3a1	1	0	0	0	1	0
Aldh3a2	2	1	0	0	0	0
Slc47a2	0	0	0	0	0	0
Gm25929	0	0	0	0	0	0
Slc47a1	0	0	0	0	0	0
Gm45605	0	0	0	0	0	0
Gm12271	0	0	0	0	0	0
Rnf112	24	15	19	17	16	10
Mfap4	0	0	0	0	0	0
Mapk7	28	20	25	10	17	20
B9d1os	0	0	0	0	0	0
B9d1	0	0	0	0	0	0
Epn2	5	1	0	0	6	1
Gm12272	0	0	0	0	0	0
Grap	0	0	0	0	0	0
Slc5a10	0	0	0	0	0	0
Fam83g	5	0	0	2	0	2
Prpsap2	0	0	0	0	0	0
Ulk2	239	271	244	260	247	166
A530017D24Rik	192	135	153	111	87	77
Gm26964	3	1	0	0	2	1
Akap10	0	0	0	0	3	0
Gm23721	666	582	686	379	411	272
Gm12273	0	0	0	0	0	0
Specc1	0	0	0	0	0	0
Gm12274	0	0	0	0	0	0
Adora2b	0	0	0	0	0	0
Zswim7	2582	2476	2567	1309	1250	970
Ttc19	0	1	2	1	0	0
Gm12275	0	0	0	0	0	0
Ncor1	0	0	0	0	0	0
Gm12276	0	0	0	0	0	0
Pigl	0	0	0	0	0	0
Gm12278	0	0	1	0	0	0
Gm12949	3	0	0	15	1	9
Cenpv	2	0	0	0	0	0
Gm12279	11	16	4	13	14	10
Ubb	12	3	10	12	8	10
Gm12280	0	0	0	0	0	0
Trpv2	0	0	0	0	0	0
2410006H16Rik	0	0	0	0	0	0
Snord49b	0	0	0	0	0	0
Snord49a	0	0	0	0	1	0
Snord65	1	0	0	1	2	0
Lrrc75a	0	0	2	0	0	5
Lrrc75aos2	0	0	0	0	0	0
Lrrc75aos1	0	0	0	0	0	0
Mmgt2	1	0	0	0	0	0
Gm12281	0	1	1	0	0	0
Zfp287	0	0	0	0	0	0
Gm27194	0	0	0	0	0	0
Wsb2-ps	0	0	0	0	0	0
Zfp286	29	29	11	19	14	23
Gm10428	0	0	0	0	0	0
Zfp286os	0	0	0	0	0	0
Gm24151	0	0	0	1	0	1
Trim16	73	68	58	70	96	63
Fbxw10	0	0	0	0	0	0
Tvp23b	0	0	0	0	0	0
Tvp23bos	0	0	0	0	0	0
Cdrt4os2	0	0	0	0	0	0
Cdrt4	0	0	0	0	0	0
Cdrt4os1	0	0	0	1	1	1
Tekt3	0	0	0	2	1	1
Pmp22	0	0	0	0	0	0
B430319H21Rik	0	0	0	0	0	0
Gm12285	0	0	0	0	0	0
Gm12286	0	0	0	0	0	0
B130011K05Rik	327	343	359	104	107	98
Gm12287	0	1	0	1	0	0
Gm12288	0	0	0	0	1	0
Hmgb1-ps3	0	0	1	0	0	1
Hs3st3b1	0	0	0	0	0	0
Cox10	0	0	0	1	0	0
9630013K17Rik	0	0	0	0	0	0
Gm12289	0	0	2	3	1	1
2810001G20Rik	0	0	0	0	0	0
Gm12290	1	0	0	0	7	1
F930015N05Rik	0	0	0	0	0	0
Hs3st3a1	6	7	5	4	6	6
Gm24275	90	118	112	96	83	70
Gm12291	0	0	0	0	0	0
Gm12292	0	0	0	0	0	0
Elac2	0	0	0	0	0	0
Arhgap44	0	0	0	0	0	0
Gm12294	5	2	1	0	0	0
Gm25991	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0
Gm12293	0	0	0	0	0	0
Myocd	0	2	0	0	0	0
Gm12295	0	0	0	0	0	0
Gm26128	0	0	0	0	0	0
Map2k4	0	0	0	0	0	0
Mir744	0	0	0	1	1	0
Zkscan6	0	0	0	0	0	0
Dnah9	0	0	0	0	0	3
Gm12296	0	0	0	0	0	0
Shisa6	0	0	1	0	0	0
Gm12297	0	0	0	0	0	0
Gm12298	2	2	0	2	0	1
Pirt	0	0	0	0	0	0
9130409J20Rik	64	51	47	43	42	18
Gm12299	0	0	0	0	0	0
Tmem220	0	0	0	0	0	0
Adprm	0	0	0	0	0	0
Sco1	0	0	0	2	0	0
Myh3	0	0	0	0	0	0
Mir6923	0	0	0	0	0	1
2310065F04Rik	145	168	141	182	174	85
Myh2	5	8	2	6	2	2
9430073C21Rik	3	3	2	3	4	0
Myh1	0	0	0	0	0	0
Gm12300	0	0	0	0	0	0
Myh4	0	0	0	1	2	0
Myh8	0	0	0	0	0	0
Myh13	0	0	0	0	0	0
Gm26476	0	0	0	0	0	0
Gas7	2594	2485	2575	1326	1253	974
Gm12301	0	0	0	0	0	0
Glp2r	1631	1511	1551	1908	1932	1318
Rcvrn	0	0	0	0	2	0
Gsg1l2	0	0	0	0	0	0
Dhrs7c	0	0	0	0	0	0
Usp43	8	5	12	10	4	10
9130017K11Rik	15	22	11	42	71	37
Cfap52	0	0	0	0	0	0
Stx8	0	0	0	0	0	0
Gm12303	0	0	0	0	0	0
Gm26157	0	0	0	0	0	0
Gm12304	368	325	305	232	245	215
C78197	0	0	0	0	0	0
Ntn1	0	0	0	0	0	0
Mir6406	0	0	0	0	0	0
Gm12305	0	0	0	0	0	0
Pik3r5	0	0	0	0	0	0
Pik3r6	0	0	0	0	0	0
Mfsd6l	0	0	0	0	0	0
Ccdc42os	0	0	0	0	0	0
Ccdc42	50	43	51	27	24	19
Myh10	0	0	0	0	0	0
Ndel1	0	0	0	17	25	20
Rnf222	0	0	0	0	0	0
Rpl26	10	6	1	11	7	9
Gm22608	0	0	0	0	0	0
Odf4	0	0	0	3	1	1
Arhgef15	21	17	24	9	12	1
Slc25a35	0	0	0	0	0	0
Rangrf	0	0	0	0	0	0
Pfas	0	0	0	0	0	0
Mir3062	0	0	0	0	0	0
Gm25819	0	0	0	0	0	0
Ctc1	9	4	12	4	5	3
Aurkb	1	1	1	0	1	0
9330160F10Rik	1	4	1	11	7	0
Borcs6	18	10	6	26	25	22
Tmem107	3	0	1	3	8	0
Snord118	1	0	0	0	0	0
Gm12306	0	0	0	0	0	0
Gm25371	0	0	0	0	0	0
Vamp2	0	4	0	3	0	0
Per1	0	0	0	0	0	0
9130213A22Rik	0	0	0	0	0	0
Hes7	0	0	0	0	1	0
Aloxe3	0	0	0	0	0	0
Alox12b	0	0	0	0	0	0
Alox8	0	0	0	0	0	0
Gucy2e	0	0	0	0	0	0
Gm23194	0	0	0	0	0	0
Cntrobos	0	0	0	0	0	0
Cntrob	0	0	3	7	0	0
Trappc1	0	0	0	0	0	0
Kcnab3	0	0	0	0	0	0
Kcnab3os	0	0	0	0	0	0
Chd3os	0	0	0	6	0	1
Chd3	0	0	0	0	0	0
Gm22442	0	0	0	0	0	0
Gm17305	0	0	0	0	0	0
Cyb5d1	0	0	0	0	0	0
Naa38	1	0	0	0	0	7
Tmem88	0	0	0	1	0	0
Kdm6b	1	0	0	0	0	0
Kdm6bos	0	0	0	0	0	0
Dnah2	0	0	0	0	0	0
Dnah2os	3	4	3	13	12	6
Gm27493	0	0	0	0	0	0
Efnb3	0	0	0	2	0	0
Wrap53	0	0	0	0	0	0
Trp53	4	7	0	2	0	0
Atp1b2	0	0	1	0	0	0
Shbg	0	0	0	0	0	0
Sat2	0	0	0	2	2	0
Gm12308	0	0	0	0	1	0
Gm12309	0	0	0	0	0	0
Fxr2	0	1	2	0	0	1
Mir467f	8	12	9	12	10	2
Sox15	0	0	1	0	1	0
Mpdu1	0	0	0	0	0	0
Mir1934	5	3	1	5	6	4
Cd68	61	65	46	360	292	427
Eif4a1	0	0	0	0	0	0
Gm24029	0	2	2	3	0	1
Gm25835	46	13	22	59	70	46
Gm22988	0	0	0	0	0	0
Senp3	0	0	0	0	0	0
Tnfsf13os	0	7	3	2	1	1
Tnfsfm13	0	0	0	0	0	0
Tnfsf13	0	0	1	0	0	0
Tnfsf12	0	0	0	0	0	0
Gm12307	0	0	0	0	0	0
Polr2a	0	0	0	0	0	0
Slc35g3	0	4	0	5	4	1
Zbtb4	0	0	0	0	0	0
Chrnb1	0	0	0	0	0	0
Fgf11	0	0	0	0	0	0
Tmem102	0	0	0	0	0	0
Gm39566	0	0	0	0	0	0
4933402P03Rik	0	0	0	0	0	0
Spem1	0	0	0	0	0	0
Nlgn2	2	2	0	3	5	3
Tmem256	0	1	0	7	3	0
Plscr3	0	0	0	0	0	0
Tnk1	0	0	0	0	0	0
Tmem95	0	0	0	0	0	0
Kctd11	0	0	0	0	0	2
Acap1	150	96	83	89	118	70
Mir6924	0	0	0	0	0	0
2810408A11Rik	0	0	1	2	2	0
Neurl4	0	0	0	0	0	0
Gps2	0	0	0	0	0	0
Eif5a	0	0	0	0	0	0
Ybx2	0	0	0	0	0	0
Slc2a4	0	0	0	0	0	0
Gm12310	0	0	0	0	0	0
Cldn7	0	0	0	0	0	0
Elp5	0	0	0	0	0	0
Gm44349	0	0	0	0	0	0
Ctdnep1	0	0	0	0	0	0
Gabarap	36	37	45	37	35	28
Phf23	0	0	0	0	0	0
Dvl2	0	0	0	0	0	0
Acadvl	1	0	0	1	1	0
Mir324	0	0	1	0	0	0
Dlg4	0	0	0	0	0	0
Asgr1	0	0	0	0	0	0
Asgr2	0	0	0	0	2	0
Gm12311	0	0	0	0	0	5
Mgl2	0	0	0	0	0	0
Clec10a	0	0	0	0	0	0
Slc16a11	0	0	0	0	0	0
Slc16a13	0	0	1	0	0	0
Bcl6b	0	0	0	0	0	0
Mir497b	0	0	0	0	0	0
Mir497	0	0	0	0	0	0
Mir195a	0	0	0	0	0	0
Gm21988	0	0	0	0	0	0
0610010K14Rik	0	0	0	0	0	0
Rnasek	0	0	0	0	0	0
Alox12	0	0	0	0	0	0
Alox12e	0	0	0	0	5	0
Alox15	0	0	0	0	0	0
Gm12312	0	0	0	0	0	0
Pelp1	67	47	52	40	25	27
Gm12313	0	0	0	0	0	0
Gm12314	0	1	0	0	1	1
Arrb2	0	0	0	0	0	0
Mir7115	2	0	0	0	0	0
Med11	3	0	2	2	2	2
Cxcl16	0	0	0	0	2	0
Zmynd15	0	0	0	0	0	0
Tm4sf5	2	0	0	1	0	0
Vmo1	0	0	0	0	0	0
Gm12317	3	4	0	0	0	0
Gltpd2	0	0	0	2	0	0
Psmb6	0	0	0	0	0	0
Gm45573	445	313	277	882	881	538
Gm10418	0	0	0	0	1	0
Pld2	8	7	13	10	14	14
Mink1	0	0	0	0	0	0
Gm12316	3	0	0	1	0	1
Chrne	2	7	5	4	10	5
4930544D05Rik	0	0	0	0	0	0
Gm12315	2	0	0	0	0	0
Gp1ba	0	0	0	0	0	0
Slc25a11	0	0	0	334	349	346
Rnf167	0	1	0	0	1	0
Pfn1	5	0	1	1	0	0
Gm12319	0	0	0	0	0	0
Eno3	0	0	0	0	0	0
Spag7	1	1	0	5	2	0
Camta2	0	0	0	0	0	0
Inca1	0	0	0	0	0	0
Kif1c	0	0	0	0	0	0
Mir6925	0	0	0	0	3	0
Gm12320	0	0	0	0	0	0
Gm12318	0	0	0	0	0	0
Gm22760	1	0	1	0	3	0
Zfp3	0	0	0	0	1	0
Scimp	0	0	0	0	0	0
Rabep1	337	308	263	293	281	273
Gm19967	0	0	1	0	0	0
Rpl23a-ps2	0	0	0	0	0	0
Gm12322	0	0	0	0	0	0
Nup88	0	0	0	0	0	0
Rpain	0	0	0	0	1	0
C1qbp	0	0	0	0	0	0
Dhx33	0	0	0	0	0	0
Gm22297	0	0	0	0	0	0
Derl2	0	0	0	0	0	0
Mis12	0	0	0	0	0	0
6330403K07Rik	57	72	70	56	51	32
Gm12321	0	0	0	0	0	0
Gm15377	0	0	0	0	0	0
Nlrp1a	0	0	0	0	0	0
Nlrp1b	5	3	0	12	13	8
Gm23266	0	4	0	0	0	0
Nlrp1c-ps	0	0	0	0	0	0
Gm23311	8	9	17	5	5	3
Gm16013	0	3	0	0	0	0
9230020A06Rik	871	746	961	712	655	446
RP23-64N1.2	0	0	0	0	0	0
Gm12324	0	0	0	0	1	0
RP23-223C15.4	0	0	4	0	0	0
Gm12325	3	7	2	0	0	0
Gm12326	1	1	0	4	2	1
Wscd1	0	0	0	0	0	0
Gm22927	0	0	0	1	0	0
4930401O10Rik	0	0	0	0	0	0
Gm23226	0	1	0	1	0	0
Aipl1	386	359	386	325	328	164
Fam64a	0	0	0	0	0	0
Pitpnm3	0	0	0	0	0	0
4933427D14Rik	9	2	3	5	1	0
Gm43951	0	2	1	0	0	0
Txndc17	0	0	0	0	0	0
Med31	0	0	0	0	0	0
4930563E22Rik	0	0	0	0	0	0
Slc13a5	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
n-R5s70	0	0	0	0	0	0
Xaf1	4	9	4	11	5	4
Fbxo39	2	10	13	11	18	1
Gm23224	0	0	0	1	2	0
Tekt1	0	1	1	6	8	6
Mir6338	0	0	0	0	4	0
Smtnl2	0	3	0	0	0	0
Ggt6	0	0	0	0	0	0
Mybbp1a	0	1	1	0	3	0
Spns2	0	0	0	0	0	0
Spns3	0	0	0	0	0	0
Gm12712	0	0	0	0	0	0
Ube2g1	0	0	0	0	0	0
Gm24143	0	0	0	0	0	0
Gm25678	0	0	0	0	0	0
Ankfy1	0	0	0	0	0	0
Cyb5d2	0	0	0	0	0	0
Zzef1	0	0	0	0	0	0
Gm22075	0	0	0	0	0	0
Gm6733	0	0	0	1	0	0
Gm26121	0	5	2	0	0	0
Gm44467	0	0	0	0	0	0
Atp2a3	0	0	0	0	0	0
P2rx1	1851	1852	1818	1646	1608	1235
4732414G09Rik	1	0	0	4	6	0
Camkk1	22	7	13	12	13	4
Ncbp3	0	0	0	0	0	0
Itgae	0	0	0	1	5	3
Gsg2	0	1	2	1	0	0
P2rx5	1	4	3	4	3	2
Emc6	0	0	0	0	0	0
Tax1bp3	0	0	0	0	0	0
Ctns	0	0	0	0	0	0
Shpk	0	0	0	0	0	0
Gm16021	2	1	0	6	1	1
Trpv1	0	0	0	0	0	0
Trpv3	4	4	0	5	5	1
Aspa	0	0	0	0	0	0
Spata22	0	0	0	0	0	0
Olfr20	17	31	43	24	22	13
Olfr376	0	0	0	0	0	0
AL645739.1	0	0	0	0	0	0
Olfr377-ps1	0	0	0	0	0	0
Gm17811	0	0	0	0	0	0
Olfr1	0	0	1	0	3	0
Olfr75-ps1	4	1	2	3	3	3
Gm44922	0	0	0	0	0	0
Olfr378	0	0	0	2	0	0
Olfr379-ps1	6	5	6	0	0	0
Olfr380	0	0	0	0	0	0
Gm44923	4	5	5	6	4	1
Olfr381	0	0	4	0	0	0
Olfr382	0	0	0	0	0	0
Olfr383-ps1	0	0	0	0	0	0
Olfr385	0	0	0	0	0	0
Olfr384	0	0	0	0	0	0
Gm12327	2	0	0	0	0	0
Olfr387-ps1	0	0	0	0	0	0
Zfp735	0	2	0	4	11	3
Gm44665	0	0	0	0	0	0
Olfr388-ps1	0	0	0	0	0	0
Gm22381	0	0	0	0	0	0
Gm12328	0	0	0	0	0	0
Olfr389	32	17	22	24	25	20
Olfr390	0	0	0	0	0	0
Olfr391-ps	0	0	1	1	0	0
Olfr392	0	0	0	0	0	0
Gm12329	0	0	0	0	0	0
Olfr393	0	0	0	0	0	0
Gm44638	13	9	0	10	15	6
Olfr394	0	0	0	0	0	0
Gm44575	39	36	39	37	22	21
Olfr395	47	46	31	53	81	59
Olfr396-ps1	0	0	0	0	0	0
Olfr23	0	0	0	0	0	0
Olfr22-ps1	0	0	0	0	0	0
Olfr397	0	1	0	0	2	2
Olfr398	0	0	0	0	0	0
Olfr139	0	0	0	2	0	3
Olfr399	0	0	0	0	0	0
Zfp616	5	7	7	9	1	3
Gm12331	191	171	131	67	83	80
Olfr400-ps1	0	0	0	0	0	0
Olfr401	2	1	5	1	0	2
Olfr402	0	0	0	0	0	0
Olfr403	0	0	0	8	13	1
Olfr43	84	94	111	72	79	54
Olfr404-ps1	0	0	0	0	0	0
Olfr405-ps1	0	0	0	0	0	0
Olfr406	0	0	0	0	0	0
Olfr407-ps1	0	0	0	0	0	0
Olfr59	45	32	32	30	18	10
Olfr408-ps1	0	0	0	0	0	0
Olfr409-ps1	0	0	0	0	0	0
n-R5s71	0	0	0	0	0	0
Gm12332	0	0	0	0	0	0
Olfr410	0	0	0	0	0	0
Olfr411	0	0	0	0	0	0
Olfr412	0	0	0	0	0	0
Rap1gap2	0	0	0	0	0	0
Gm22993	0	0	0	1	0	0
Ccdc92b	1	0	0	0	0	0
Cluh	0	0	0	0	0	0
Pafah1b1	0	0	0	0	0	0
Gm24211	42	41	39	47	37	17
Gm16032	0	0	1	0	0	0
Mettl16	0	0	0	3	2	0
Mnt	0	0	0	0	0	0
Sgsm2	0	0	0	0	0	0
Mir6926	0	0	0	0	0	0
Tsr1	0	0	0	0	0	0
Snord91a	0	0	0	0	0	0
Gm22771	0	0	0	0	0	0
Srr	0	0	0	0	0	0
Smg6	0	0	0	0	0	0
Gm22733	0	0	0	0	0	0
Gm28180	0	0	0	0	0	1
Gm12333	0	0	0	0	0	0
Gm12335	4	1	3	2	1	1
Rps12-ps19	1	1	0	0	0	0
Hic1	3	5	4	114	106	125
1700016P03Rik	3	3	5	10	2	0
Mir212	0	0	0	0	0	0
Mir132	0	0	0	0	0	0
Ovca2	0	0	0	0	0	0
Dph1	0	0	0	3	2	0
Rtn4rl1	0	0	0	0	0	0
Rpa1	0	0	4	0	0	3
AL603834.1	0	1	0	0	3	0
Smyd4	0	0	0	0	0	0
Serpinf1	0	0	0	0	0	0
Gm12336	0	0	0	0	0	0
Gm12337	7	3	2	22	8	8
Serpinf2	4	1	0	0	2	0
Wdr81	0	0	0	0	0	0
Mir22hg	0	1	0	1	0	0
Tlcd2	0	0	0	0	0	0
Mir22	0	0	0	0	0	0
Prpf8	0	0	0	0	0	0
Rilp	0	0	0	0	0	0
Scarf1	1	0	0	0	0	0
Gm45606	0	0	0	0	0	0
Slc43a2	0	0	0	0	0	0
Mir3971	0	0	0	0	0	0
Pitpna	1	0	5	1	0	0
4931413K12Rik	0	0	0	1	2	0
Gm12338	0	0	0	0	0	0
Inpp5k	40	34	24	48	37	38
Myo1c	0	0	0	0	0	0
Crk	0	0	0	4	5	0
Ywhae	0	0	0	0	0	0
Gm26836	0	0	2	0	2	1
Doc2b	0	0	1	0	1	0
Gm12339	0	0	0	0	0	0
Rph3al	0	0	0	0	0	0
Gm16075	293	288	241	159	199	100
1700016K19Rik	0	5	0	3	1	8
Rflnb	0	0	0	0	0	0
Vps53	33	23	46	37	26	21
Glod4	19	29	27	10	11	4
Gm12340	176	156	106	118	107	55
Fam57a	0	0	0	0	0	0
Gemin4	0	0	0	0	0	0
Dbil5	0	0	0	0	0	0
Rnmtl1	0	0	0	0	0	0
Nxn	0	2	0	0	0	0
Timm22	0	0	0	0	0	0
Abr	0	0	0	0	0	0
Gm12341	1	0	0	0	0	0
Rpl36-ps2	0	0	0	0	0	0
Gm26780	0	0	0	0	0	0
Bhlha9	0	0	0	0	0	0
Tusc5	6	4	1	1	2	0
Gosr1	0	0	0	0	0	0
Cpd	4	1	2	4	0	1
Tmigd1	24	21	9	24	17	10
Blmh	2	7	13	9	11	6
Gm22611	0	0	0	0	0	0
Slc6a4	0	0	0	0	0	0
Gm12343	0	0	0	0	7	0
Nsrp1	0	0	0	0	0	0
Gm22772	0	0	0	0	0	0
Mir423	0	0	0	0	0	0
Efcab5	0	0	0	0	0	0
Gm12344	0	0	0	0	0	0
Gm12345	2	3	0	0	0	3
Gm45027	0	0	0	0	0	0
Ssh2	0	0	0	0	0	0
Gm24989	10	1	4	8	1	6
Gm12346	17	17	6	24	33	10
Coro6	0	0	0	0	0	0
Ankrd13b	0	0	0	0	0	0
2210008F06Rik	0	0	0	0	0	0
Git1	0	1	0	2	4	0
Trp53i13	0	0	0	1	0	0
Abhd15	1	5	4	3	0	0
Gm10392	0	0	0	0	0	0
Taok1	0	0	0	0	0	0
Gm12734	0	0	0	0	0	0
